Z,sSFR_0_1Gyr_percentile50,mass_stellar_percentile50,RA,DEC
0.0559,-12.57,10.25,137.2676925,2.0093047
0.0918,-10.32,10.57,137.7539409,2.0323122
0.0554,-11.92,10.78,137.82883053,2.0190079
0.0556,-10.27,10.62,138.204207,1.9791023
0.0942,-10.72,10.61,139.1107702,1.977757
0.0874,-12.12,10.53,139.6366307,2.0683496
0.087,-10.42,10.95,139.6726927,2.0251739
0.0866,-10.52,10.6,139.8945296,2.1144293
0.0876,-10.02,10.24,139.999975,2.129246
0.089,-12.37,11.19,140.0779082,2.1836603
0.0571,-9.725,10.49,140.67040862,2.11154316
0.0169,-10.22,10.5,140.902137,2.1363749
0.096,-12.02,10.84,130.6132195,2.120296
0.0739,-11.72,10.7,130.6703599,2.1196224
0.0744,-9.975,10.34,130.6283934,2.1345991
0.0776,-10.67,10.57,130.9562941,2.1457129
0.0772,-11.52,10.27,131.0478345,2.1198343
0.0786,-10.27,10.81,131.1185058,2.1162905
0.0781,-9.875,10.58,131.1668243,2.1971495
0.0745,-11.52,10.98,131.1892664,2.1855003
0.0758,-11.07,10.42,131.3060525,2.2177784
0.0751,-12.02,10.89,131.4336477,2.2105671
0.0757,-10.92,10.63,131.4440614,2.1992973
0.06,-10.32,10.38,131.7362855,2.2448479
0.0613,-10.07,10.41,131.9851537,2.1912147
0.0767,-11.72,10.78,132.0173243,2.2193982
0.0954,-10.07,10.38,133.0504697,2.2593633
0.0352,-11.97,10.66,133.289812,2.2463931
0.0583,-12.57,11.13,133.558977,2.240822
0.0995,-11.67,10.32,133.5537003,2.3333364
0.0582,-10.67,10.78,133.70923962,2.20232633
0.071,-10.82,10.63,134.1247805,2.2142022
0.0536,-10.87,10.65,134.4288347,2.3616904
0.0538,-10.02,10.33,134.4044213,2.2394396
0.0717,-12.22,10.54,135.0081322,2.3773189
0.0717,-12.17,10.46,134.9969094,2.4114493
0.0525,-12.02,10.45,135.1722738,2.245781
0.071,-11.32,10.47,136.0499742,2.4403629
0.0996,-10.07,10.66,136.8749829,2.3388711
0.0514,-12.22,10.85,136.8112572,2.4426828
0.0511,-12.57,10.33,136.8121323,2.4360398
0.0545,-11.57,10.67,137.4349309,2.3503507
0.0921,-10.07,10.78,137.4076307,2.3783657
0.0977,-12.37,10.38,137.409453,2.4109325
0.0974,-12.52,10.55,137.4138243,2.4076326
0.0388,-12.97,10.57,137.5123613,2.3289357
0.0918,-9.775,10.41,137.5611413,2.4075179
0.0923,-11.82,10.43,137.5941871,2.4013625
0.0914,-11.07,10.52,137.9635937,2.4527497
0.091,-11.97,11.02,138.9338131,2.4440807
0.0903,-9.775,10.38,138.9041666,2.4757708
0.0917,-10.07,10.48,138.9568995,2.4264656
0.0588,-11.77,10.23,139.8199775,2.5503984
