#Table1
ra,dec,deVRad_i,expRad_i,lnLExp_i,lnLDeV_i,z,logMass,ssfr,metallicity
131.433647666427,2.21057075462626,2.861396,1.590513,-3140.984,-319.0642,0.07512907,10.9894079328825,-8.67007732391357,0.00769999995827675
142.615628730133,2.47655960986823,3.207877,1.92199,-238.2204,-379.8635,0.05716537,10.3150525822739,-0.896270513534546,0.00769999995827675
131.439417135745,2.57198650564239,0.9454902,0.8489212,-196.9888,-23.02294,0.07667141,10.229517815344,-33,0.00769999995827675
131.827666148115,2.76226467790364,7.14982,4.569176,-22883.17,-1174.555,0.02847396,10.666529070357,-33,0.00769999995827675
138.025518069365,3.14929384444407,3.537279,2.098004,-290.9347,-1284.794,0.09697247,10.9043675322903,-3.36617708206177,0.0299999993294477
131.618608671926,3.08603884245134,11.30192,4.552858,-31.42547,-719.8422,0.07305195,10.2084787044544,-0.75043386220932,0.00960000045597553
141.679471252259,3.6827385554284,1.972458,1.302771,-1916.226,-20.38154,0.06360064,10.4827892264957,-4.74274015426636,0.00769999995827675
131.221311185025,3.40974059009333,4.938449,2.87652,-1607.73,-872.5561,0.0643336,10.6886564354134,-2.66989159584045,0.00769999995827675
130.366773498654,3.81746269198877,9.852686,4.872892,-307.5293,-1261.98,0.0629052,11.0400585265387,-1.89452815055847,0.0299999993294477
132.338738911833,4.04608158969418,2.318285,1.552331,-1532.464,-94.81956,0.07464613,10.684185425232,-4.53546094894409,0.00769999995827675
142.716340535956,2.84449994268766,7.343682,3.133571,-210.6643,-518.4708,0.09596086,10.5287137456961,-1.07113468647003,0.00769999995827675
136.014935903755,3.83550828558758,4.106702,2.418102,-409.2016,-373.3858,0.05702476,10.4450030823936,-1.72047400474548,0.00960000045597553
133.153164648812,3.97079444180312,8.208463,4.268808,-72.63204,-914.7245,0.05929656,10.5090014019451,-1.61835026741028,0.0149999996647239
128.548101207774,3.8003066697483,3.455671,2.365652,-1890.369,-479.6684,0.05989246,10.4799011740085,-2.55407476425171,0.0120000001043081
130.36475726653,4.01923671993744,3.8226,2.377376,-2257.371,-1308.696,0.08270098,10.7722561394466,-2.55132269859314,0.00769999995827675
132.739011686685,4.29705121476726,10.66346,4.691511,-209.7949,-2148.658,0.05082323,10.3375862463671,-1.05661308765411,0.00960000045597553
137.434561185457,4.69232537635935,5.017118,2.291392,-80.09315,-682.2341,0.06962434,10.2668862507622,-1.17678380012512,0.00769999995827675
142.921278525439,5.30525736214346,8.144881,4.374371,-148.5896,-911.5767,0.076382,11.0451673907688,-2.07315587997437,0.0299999993294477
127.659926800766,4.09967309052836,12.33929,5.338521,-1222.569,-753.2071,0.06609007,10.3830871315813,-0.65097564458847,0.00769999995827675
130.946624702678,4.52162736749866,3.608619,2.349674,-3433.346,-140.1199,0.09473474,11.0347818330503,-3.40829801559448,0.0299999993294477
131.518884800989,4.6617758297685,4.168033,3.048071,-5494.644,-1608.93,0.06056794,11.0482305936242,-6.91848993301392,0.00769999995827675
134.158242900686,4.93095757588936,1.177814,0.9571352,-623.7852,-22.68388,0.09428956,10.4741099157731,-7.81729221343994,0.00960000045597553
